Issue Key,Summary,Issue Type,Priority,Epic Link,Sprint,Assignee,Component,Labels,Depends On,Description,Acceptance Criteria,Iteration,Epic Name,Sprint Goal
I1-EPIC-1,项目与阶段底座,Epic,P0,,Sprint 1,,Architecture,"iteration-1,epic,project,stage",,"Iteration 1 下负责项目、阶段与基础配置底座。","完成后系统可创建项目、配置阶段并进入工作台",I1,项目与阶段底座,完成项目、阶段、成员、专业和工作台底座，让系统具备进入正式业务流程前的项目级配置能力。
I1-EPIC-2,权限与成员体系,Epic,P0,,Sprint 1,,Architecture,"iteration-1,epic,permission,member",,"Iteration 1 下负责项目成员、角色、业务身份和范围权限。","完成后系统可维护项目成员并执行基础权限控制",I1,权限与成员体系,完成项目、阶段、成员、专业和工作台底座，让系统具备进入正式业务流程前的项目级配置能力。
I1-EPIC-3,专业与定额集配置,Epic,P0,,Sprint 1,,Architecture,"iteration-1,epic,discipline,standard-set",,"Iteration 1 下负责专业主数据、定额集主数据和项目专业配置。","完成后系统可配置项目专业并绑定默认定额集",I1,专业与定额集配置,完成项目、阶段、成员、专业和工作台底座，让系统具备进入正式业务流程前的项目级配置能力。
I1-EPIC-4,阶段工作台,Epic,P1,,Sprint 1,,Architecture,"iteration-1,epic,workspace",,"Iteration 1 下负责阶段工作台聚合能力和前端首页。","完成后系统可展示项目阶段、专业和权限摘要",I1,阶段工作台,完成项目、阶段、成员、专业和工作台底座，让系统具备进入正式业务流程前的项目级配置能力。
I1-EPIC-5,数据初始化与导入前置准备,Epic,P1,,Sprint 1,,Architecture,"iteration-1,epic,init,import",,"Iteration 1 下负责枚举常量、导入前置能力和回归验证。","完成后系统具备进入清单导入前的基础准备能力",I1,数据初始化与导入前置准备,完成项目、阶段、成员、专业和工作台底座，让系统具备进入正式业务流程前的项目级配置能力。
I1-01,创建项目基础表迁移,Story,P0,I1-EPIC-1,Sprint 1,,Backend,"iteration-1,project,database",,"创建 `project`、`project_stage` 两张核心表，并补齐主键、时间字段、唯一索引。","可完成数据库迁移；`project.project_code` 唯一；`project_stage(project_id, stage_code)` 唯一",I1,,
I1-02,初始化标准阶段主数据,Task,P0,I1-EPIC-1,Sprint 1,,Backend,"iteration-1,stage,seed","I1-01","初始化 9 个标准阶段编码和默认顺序，供项目创建时展开模板。","可查询 9 个标准阶段；阶段编码与文档一致",I1,,
I1-03,实现项目创建接口,Story,P0,I1-EPIC-1,Sprint 1,,Backend,"iteration-1,project,api","I1-01,I1-02","实现 `POST /api/v1/projects`，支持创建项目、展开默认阶段模板、写入负责人。","创建后可返回项目详情；自动生成默认阶段配置；项目负责人自动成为项目成员",I1,,
I1-04,实现项目详情接口,Story,P0,I1-EPIC-1,Sprint 1,,Backend,"iteration-1,project,api","I1-03","实现 `GET /api/v1/projects/{id}`，返回项目基础信息和默认配置引用。","可按项目 ID 查询详情；非项目成员不可访问",I1,,
I1-05,实现阶段配置读写接口,Story,P0,I1-EPIC-1,Sprint 1,,Backend,"iteration-1,stage,api","I1-03","实现 `GET/PUT /api/v1/projects/{id}/stages`，支持启停、排序、负责人和审核人配置。","阶段编码不可重复；阶段顺序不可重复；可启停阶段并保存负责人、审核人",I1,,
I1-06,项目列表页与创建页前端骨架,Story,P1,I1-EPIC-1,Sprint 1,,Frontend,"iteration-1,project,frontend","I1-03,I1-04","实现项目列表页、创建页和详情入口。","可创建项目；创建后可跳转详情页",I1,,
I1-07,阶段配置页前端实现,Story,P1,I1-EPIC-1,Sprint 1,,Frontend,"iteration-1,stage,frontend","I1-05","实现阶段启停、排序和负责人配置页面。","可调整阶段顺序；可编辑负责人和审核人",I1,,
I1-08,创建项目成员与权限范围表迁移,Story,P0,I1-EPIC-2,Sprint 1,,Backend,"iteration-1,member,permission,database","I1-01","创建 `project_member`、`project_role_scope`，补齐唯一约束和范围字段。","`project_member(project_id, user_id)` 唯一；可存角色、业务身份、阶段/专业/单体范围",I1,,
I1-09,实现 JWT 与项目成员鉴权中间件,Story,P0,I1-EPIC-2,Sprint 1,,Backend,"iteration-1,permission,auth","I1-08","实现 JWT、项目成员校验、平台角色校验和基础资源权限校验。","非项目成员不能访问项目详情；项目成员能根据角色拿到不同能力",I1,,
I1-10,实现项目成员读写接口,Story,P0,I1-EPIC-2,Sprint 1,,Backend,"iteration-1,member,api","I1-08,I1-09","实现 `GET/PUT /api/v1/projects/{id}/members`，支持角色、业务身份、范围配置。","可新增和失活成员；可配置业务身份；可配置阶段与专业范围",I1,,
